#{"t_start": 1785149368.139254, "env_id": "None"}
r,l,t
-184.275409,52,11.275314
-618.406551,52,11.287252
-459.935429,52,11.29918
-800.052437,52,11.31134
-428.705064,52,11.323657
-663.970048,52,11.335928
-188.761206,52,11.347742
-629.389323,52,11.36024
-190.198369,52,11.372581
-248.861047,52,11.384558
-1044.182853,52,11.396286
-498.711797,52,11.408621
-338.822308,52,11.421136
-312.146933,52,11.433095
-612.048504,52,11.445225
-1093.655227,52,11.458196
-429.359173,52,11.470446
-700.737461,52,11.482472
-737.36712,52,11.494433
-305.536844,52,11.507299
-269.602368,52,11.519435
-552.10845,52,11.531341
-317.267856,52,11.543172
-1100.07468,52,11.556145
-683.20354,52,11.568083
-724.006731,52,11.580023
-428.687913,52,11.592041
-249.882655,52,11.604958
-282.611383,52,11.617127
-352.236834,52,11.629238
-769.967434,52,11.641323
-384.055805,52,11.654199
-363.445695,52,11.666416
-251.630883,52,11.678687
-480.784062,52,11.690659
-576.59895,52,11.703786
-384.855321,52,11.715783
-429.356357,52,11.727761
-922.828725,52,11.73974
-955.043255,52,11.752349
-1188.004107,52,11.764535
-716.085135,52,11.776845
-462.597267,52,11.788722
-368.106382,52,11.801613
-246.808213,52,11.813699
-576.478166,52,11.825549
-506.905531,52,11.837283
-1144.675365,52,11.849503
-706.64011,52,11.861972
-1003.709904,52,11.87431
-450.840504,52,11.88626
-429.708777,52,11.899167
-293.82531,52,11.911434
-147.64065,52,11.923301
-569.246525,52,11.935214
-939.850199,52,11.947337
-632.323786,52,11.959886
-464.076566,52,11.97215
-354.877746,52,11.984085
-752.955284,52,11.996629
-229.214924,52,12.008883
-323.591066,52,12.0208
-995.21835,52,12.032697
-456.235804,52,12.044939
-583.863915,52,12.057121
-271.735082,52,12.069364
-969.098272,52,12.081387
-615.566187,52,12.094454
-222.401935,52,12.106483
-181.402391,52,12.118456
-299.834616,52,12.130308
-995.500214,52,12.142572
-1106.307019,52,12.154829
-522.857548,52,12.167132
-677.679916,52,12.179204
-1455.149793,52,12.192204
-428.474741,52,12.204496
-170.930903,52,12.216576
-267.269586,52,12.228484
-252.194834,52,12.240919
-341.756232,52,12.253136
-419.574137,52,12.265001
-671.863291,52,12.277426
-226.754439,52,12.29007
-564.505809,52,12.30247
-717.336245,52,12.314408
-332.64179,52,12.326499
-813.504381,52,12.339332
-493.442962,52,12.351662
-638.017929,52,12.363638
-270.215005,52,12.375469
-423.193851,52,12.388265
-654.172028,52,12.400189
-247.571586,52,12.412087
-206.897565,52,12.424021
-202.371296,52,12.436685
-550.013159,52,12.448655
-494.372903,52,12.460997
-166.630038,52,12.472966
-546.423999,52,12.486019
-257.281747,52,12.497925
-372.226154,52,12.509856
-781.904867,52,12.521784
-434.36013,52,12.533892
-337.233494,52,12.546149
