rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/loss,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps
-382.00614803999997,29120,0.001,5.81793737411499,560,7254,0.05,52.0,6,4434
-398.22920423999994,29328,0.001,4.427031517028809,564,7306,0.05,52.0,6,4433
-409.0419403799999,29536,0.001,7.342427730560303,568,7358,0.05,52.0,6,4431
-414.03203824999997,29744,0.001,7.111237525939941,572,7410,0.05,52.0,6,4430
-433.30577588,29952,0.001,6.3161187171936035,576,7462,0.05,52.0,6,4429
-432.01799563000003,30160,0.001,3.4217031002044678,580,7514,0.05,52.0,6,4428
-432.3825130199999,30368,0.001,5.138680458068848,584,7566,0.05,52.0,6,4426
-428.39579562000006,30576,0.001,12.279900550842285,588,7618,0.05,52.0,6,4425
-430.63797815,30784,0.001,9.646025657653809,592,7670,0.05,52.0,6,4424
-430.75461211999993,30992,0.001,6.95510721206665,596,7722,0.05,52.0,7,4423
-438.22191822,31200,0.001,5.677507400512695,600,7774,0.05,52.0,7,4421
-437.06012692999997,31408,0.001,2.7852721214294434,604,7826,0.05,52.0,7,4420
-430.88398022,31616,0.001,2.7248644828796387,608,7878,0.05,52.0,7,4419
-437.47336051999997,31824,0.001,5.625411033630371,612,7930,0.05,52.0,7,4418
-438.4301035800001,32032,0.001,13.948488235473633,616,7982,0.05,52.0,7,4417
-440.72016247999994,32240,0.001,4.823493957519531,620,8034,0.05,52.0,7,4416
-443.62762927000006,32448,0.001,9.536718368530273,624,8086,0.05,52.0,7,4415
-448.44124881000005,32656,0.001,7.090537071228027,628,8138,0.05,52.0,7,4413
-454.2422393400001,32864,0.001,5.552933692932129,632,8190,0.05,52.0,7,4413
-456.55352186000005,33072,0.001,6.549252986907959,636,8242,0.05,52.0,7,4412
-452.25436556999995,33280,0.001,4.0062432289123535,640,8294,0.05,52.0,7,4411
-452.3791619199999,33488,0.001,2.588395595550537,644,8346,0.05,52.0,7,4410
-447.36132604000005,33696,0.001,2.3800830841064453,648,8398,0.05,52.0,7,4408
-457.3960512599999,33904,0.001,6.706905841827393,652,8450,0.05,52.0,7,4407
-463.04630962000005,34112,0.001,9.628877639770508,656,8502,0.05,52.0,7,4407
-465.41672124,34320,0.001,7.687469959259033,660,8554,0.05,52.0,7,4405
-456.7904281500001,34528,0.001,11.98384952545166,664,8606,0.05,52.0,7,4405
-456.70850279,34736,0.001,7.355952739715576,668,8658,0.05,52.0,7,4403
